,track_name,album_name,artists,popularity,track_id
0,It's Corn,It's Corn,Tariq,53.0,8f2ac86abb8bd48273c8fc95b632e347
1,Crazy Rap (Colt 45) - GAYMIX,Crazy Rap (Colt 45),DigBar,48.0,45bbd6d7cd65dc77596af8c5c0b89a70
2,Dance Mode,Dance Mode!,Bluey,64.0,d53b2de022666067050dae8f6645edc2
3,abc,KIDZ BOP Super POP!,Kidz Bop Kids,48.0,2ac754eb153631a50e64b0b37801ef21
4,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,40cbffe332ab6b773121e1fbfa798e1b
5,4 BIG GUYS,DIGBARGAYRAPS THE ALBUM,DigBar,57.0,4fedd4a1fe1f59f408913929a1cfdd57
6,No Way,Six: The Musical (Studio Cast Recording),SIX,59.0,6f43dd2b5881ab827a2e45800ea70a34
7,DONTTRUSTME,WANT,3OH!3,70.0,3ded9365ecd9562867e9d0a2ad79ed33
8,1553470665499594756,1553470665499594756,frxgxd,39.0,cf23245df0839cc7569e89bc58579e6b
9,1812 Ofarture,Captain Underpants: The First Epic Movie (Original Motion Picture Soundtrack),The Students Of Jerome Horwitz Elementary School,44.0,27546d8cdedcb77d5a6a67cfe8705b13
10,DONTTRUSTME,WANT,3OH!3,70.0,03d72053be5083273ab9923e030a0b2a
11,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,e18bf3a5bbcd8e308ca755a402dcb916
12,417,Ambient mt. 174-963,Timo Krantz,62.0,4299ad41aaba3d7187bced53f6c8df16
13,25 or 6 to 4 - 2002 Remaster,Chicago II,Chicago,63.0,25b99c4e85804fc0df9ee1eee79f9389
14,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,a69283f6f8757e2c9014e6f8e2925697
15,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,d80704476756f3ed4841194b49166276
16,Baa Baa Black Sheep,"CoComelon Kids Hits, Vol. 1",CoComelon,67.0,c0ba3269837063ad0fe1ee2ad2094f7a
17,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,c893cc13e96f11dc1243e396cef1213d
18,7969 Santa,For All The Dogs,Drake,62.0,9a17be6df23c8ceab1188f532c8e754b
19,2085,The Maybe Man,AJR,56.0,85fce28234ac2d3b19772dec2b1e82d3
20,Fruit Bat,Bluey the Album,Bluey,55.0,3c45a30a72620d2f62545807cd7b6de1
21,396,Ambient mt. 174-963,Timo Krantz,62.0,37a915d5a22a6cad39f06cca859c6587
22,About to Do Something New - Songs From the Netflix Series,CoComelon Lane (Songs From the Netflix Series),CoComelon,54.0,04d5b747d606ac948aaddb712b51a71a
23,1553470665499594756,1553470665499594756,frxgxd,39.0,ee0738f0df011ee14600fa566b1e488c
24,867-5309 / Jenny,Tommy Tutone - 2,Tommy Tutone,61.0,8289bb5da6c34a8db83fea7ee9489fba
25,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,552489f708e15b5a72a7bf70dc3130e3
26,Dance Monkey,KIDZ BOP Party Playlist!,Kidz Bop Kids,57.0,1b357fb71792d8a0e4988ddecd56b09c
27,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,3bf858f6ec39d7bef05d02fc74f1275f
28,Six in a Bed,50 Silly Songs,The Little Sunshine Kids,64.0,d6b1124fdd64c4b1afa59f967397111d
29,34.0522° N,UltraViolet,80purppp,50.0,e5176e6ed60ddb2da11cbe87aeb4bb32
30,1553470665499594756,1553470665499594756,frxgxd,39.0,3e44e2ed6da722d7b65d84e2e2f339a1
31,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,1a8cfecf30df0b8a862cb1047b7760b6
32,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,d37a18886cf98db69222b47e825058cb
33,Fruit Bat,Bluey the Album,Bluey,55.0,9f02458acbea40d7b060feea339e5e6f
34,California (feat. Warren Hue),California (feat. Jackson Wang & Warren Hue) [Remix],88rising,55.0,8847acb8d909e8e90bbdc4eeb544d05f
35,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,b07e5ba813dd9c146a6abcf21372f19c
36,Mickey's Countdown,Mickey Mouse Clubhouse,Mickey Mouse,54.0,d05e47557423aed6dce775608f283270
37,7 Days of the Week,7 Days of the Week,The Learning Station,57.0,719d8ff512a53b3e1d9183693bdc01eb
38,Sunroof,KIDZ BOP 2023,Kidz Bop Kids,57.0,1b08256f435a52d57d255911b2a4dec5
39,1874,The Line-Up,Eason Chan,35.0,282b6156ed2066f8815d3db986b5728b
40,Sunroof,KIDZ BOP 2023,Kidz Bop Kids,57.0,8539d7a8024d1883dba708125ebbe0df
41,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,9cd16d11ab4619d0cbc98efce4f2694d
42,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,c7237d1df5a31283345e223ea8648b6d
43,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,f52bdc3f4c875b5cafb02f276792bcd5
44,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,48211d9cddfa848ec288807555bbd212
45,Hot Girl Bummer (8D Audio),Hot Girl Bummer (8D Audio),8D Tunes,49.0,8d52c3f95a3d91b80508cecae21e36fd
46,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,9a4953bd93da84b57c61a5c2ad1d61bf
47,90210,90210,Zombie!,48.0,930844f24f3a4baf40581fa73947ff9f
48,1553470665499594756,1553470665499594756,frxgxd,39.0,0e0063f14281532fc06850c46a04f8d4
49,Sunroof,KIDZ BOP 2023,Kidz Bop Kids,57.0,232f7a41ad2e600064085f63a5dbf0d3
50,Puppy Dog Pals Main Title Theme,Puppy Dog Pals: Disney Junior Music,"""Puppy Dog Pals"" Cast",51.0,27053c20795773875dbb3b006cd86bba
51,949 Raised,949 Raised,949_creeper,44.0,92448f37a6c0865a644672267bb00b54
52,"1, 2, 3, 4",Big Bad World,Plain White T's,56.0,9dc30040a1fa1e832e03e6f332af1401
53,candyflips!,I feel like doing candy flips and riding elephants,347aidan,37.0,33dea2c70be56ac9f0a21d68fd25a6a5
54,Fake Friends,Fake Friends,DJ Solo 44,55.0,441f8f6049eaa62b7fad32246ad3884a
55,"""C"" is for Cookie",Sesame Street: Platinum All-Time Favorites,Cookie Monster,49.0,cb0616ec75588a008a4bd7dfb724dc53
56,Cruel Summer,KIDZ BOP 2024,Kidz Bop Kids,57.0,fe3f42d2e1f9188cb59623fe97d24823
57,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,ac6a5896bb3f6cb6c1a1b4f15e51dd55
58,分手總要在雨天,真情流露-張學友,Jacky Cheung,54.0,d885890aca279d79c89d69c11c29facd
59,Six in a Bed,50 Silly Songs,The Little Sunshine Kids,64.0,605d80e9498b2bb1d59d891e1a392850
60,417,Ambient mt. 174-963,Timo Krantz,62.0,425ea613adc368234c34709520088a5f
61,Rock-a-Bye Baby,"CoComelon Kids Hits, Vol. 2",CoComelon,63.0,c0ca2b4900e7fcd16a95192a126ddbcb
62,Bluey Theme Tune - Extended,Bluey the Album,Bluey,64.0,bf474911b4281b969af62cd63e4ba8ff
63,267 of 365,September,C.W. Da YoungBlood,5.0,269a8de2f0f0013cf6efe2f98e6451c1
64,Paint The Town Red,KIDZ BOP 2024,Kidz Bop Kids,53.0,04cb9dcf359cd1d90802425072bde5de
65,304,304,Airitout JuJu,50.0,a30c3952baf5fda24f405a0b4735dbca
66,Fukk Sukkas,2021,EBK Jaaybo,47.0,e90f379f73bd204e587ba4118538f17e
67,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,f0515e9b65be2fa5259d02a82743e505
68,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,1cb8545029c7d1e1e3ef53df33be5260
69,Nom Nom Nom Nom Nom Nom Nom,Parry Gripp Mega-Party (2008 - 2012),Parry Gripp,60.0,0b7779a3bca7577a159f806ce1fdcef3
70,EGGSTREME DUCK PHONK,EGGSTREME DUCK PHONK,sma$her,57.0,dd3d2726c333611a8b636207cff0c0ee
71,Seven,KIDZ BOP 2024,Kidz Bop Kids,52.0,7a08aea93ee222664431efd3784c91b7
72,1553470665499594756,1553470665499594756,frxgxd,39.0,8268cc082bb62cfe2703a8d4ed39af19
73,5 Little Monkeys,100 Fun Songs for Kids Vol. 1,The Little Sunshine Kids,63.0,5b492cfa7670cbb2395480eaa4b5d087
74,分手快樂 - 獨唱版,Sunrise 我喜歡,Fish Leong,48.0,f996a0dd05c034d66a2c3b8e0925f488
75,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,3959cfd853dec95201b5be88d0151449
76,Uptown Funk,Kidz Bop 28,Kidz Bop Kids,53.0,28c5829ec5be285b0e3889dc13b357eb
77,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,81.0,bafb0ee6d22f54168bfe40af08cc457c
78,I'm Good (Blue),KIDZ BOP 2023,Kidz Bop Kids,53.0,efb108900056cae73c505904a35f74e2
79,Three Little Pigs,"CoComelon Kids Hits, Vol. 5",CoComelon,54.0,3b4e42961fde477f1cd793ff718e2150
80,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,4b61c8908ae9e55110e6fe910b21bf1f
81,Good 4 U,KIDZ BOP 2022,Kidz Bop Kids,47.0,2ed9180b10188512fb336a0130b81fc5
82,F.N.F. (Let's Go),F.N.F. (Let's Go),Hitkidd,58.0,ffb329ed3f8e154b458ce17c5f1cef67
83,"1, 2, 3, 4",Big Bad World,Plain White T's,56.0,1d954bf6800232e2b42c7ecc1e96d940
84,Embodiment of Grief,The Sin of Human Frailty,END,23.0,ebdac7f9a414794f62e7cf284e45fc6f
85,Paint The Town Red,KIDZ BOP 2024,Kidz Bop Kids,53.0,0aaedb318a832382d558a77efc298cb5
86,I Like Me Better - 128 BPM,The Best of Aqua Hits 2018 for Workout Program (15 Tracks Non-Stop Mixed Compilation for Fitness & Workout - 128 BPM),Blue Minds,30.0,1285f9beaf5577b1c2902e7aad8c77a1
87,"1, 2, 3, 4",Big Bad World,Plain White T's,56.0,1b49ca336c5e501bbd5e76f5589f9f1d
88,8TEEN,American Teen,Khalid,76.0,8c31836d2daaa70cbcbe0e015890368f
89,Sunroof,KIDZ BOP 2023,Kidz Bop Kids,57.0,9ba5b84947b196f95056aedefe29741d
90,Enjoy the Ride,Because We Had To,The 502s,57.0,e521b7481ee9f5752c727f16dfe2d93d
91,Peanut Butter and Jelly,35*35 Family Bizness We Got Next Vol.1,Cadillac Don & J-Money,37.0,ca066280bd47d41493d4e85adf03cad0
92,I Am A Gummy Bear (English),The Gummy Bear Song International Singles,Gummibär,53.0,3c8f3ede21f79763e042d964636eadc4
93,abcdefu,abcdefu,GAYLE,75.0,a11cd028cd7a1cf3925b15eedf7a0411
94,1553470665499594756,1553470665499594756,frxgxd,39.0,eec444501dd9b3aa6c24cbf6c379106d
95,It's Corn,It's Corn,Tariq,53.0,9bb2e941256b25f39b0e42343bad6e73
96,396 Hz Root Chakra Enhancement,396 Hz Healing Frequency,Spiritual Frequencies,49.0,3982da20d6d695d2eedf1e77651697ee
97,I Ain't Worried,KIDZ BOP 2023,Kidz Bop Kids,46.0,a820870376333fa02ba8559249a0a401
98,Red Water,Graffiti The World,Rehab,31.0,eedbec6bc0f799ea6ae71c83d4022ce3
99,BILLY,Day69: Graduation Day,6ix9ine,65.0,6e0c2e74590f7092f316e65d4c937d3d
100,Incy Wincy Spider,50 Silly Songs,The Little Sunshine Kids,60.0,1cece02795835e11be57d255ea2896cc
101,TROLLZ,TattleTales,6ix9ine,59.0,670bdbbde1cf33c468ba76bd9a878e04
102,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,8eaa4567f2cde8e072d57080a5493ddc
103,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ 6,YAYAYI,YAYAYI,42.0,1c8cc4157f0483dcbe3cda98378e7ecf
